,step1,step2,presicion,recall,f1_score,test_size,model,addition
0,StandardScaler,CatBoostClassifier,0.9243937620771304,0.9243937620771304,0.9243937620771304,36743.0,,
1,StandartScaler,LGBMClassifier,0.9235772800261274,0.9235772800261274,0.9235772800261274,36743.0,,
2,StandardScaler,XGBClassifier,0.8952725689246931,0.8952725689246931,0.8952725689246931,36743.0,,
3,Normalizer,LGBMClassifier,0.9139972239610266,0.9139972239610266,0.9139972239610266,36743.0,,
4,StandardScaler,LGBMClassifier,0.9235772800261274,0.9235772800261274,0.9235772800261274,36743.0,,
5,StandardScaler,XGBClassifier,0.8949731921726587,0.8949731921726587,0.8949731921726587,36743.0,,
6,StandardScaler,CatBoostClassifier,0.9243937620771304,0.9243937620771304,0.9243937620771304,36743.0,,
7,StandardScaler,XGBClassifier,0.895408649266527,0.895408649266527,0.895408649266527,36743.0,,
8,StandardScaler,CatBoostClassifier,0.9243937620771304,0.9243937620771304,0.9243937620771304,36743.0,,
9,StandardScaler,LGBMClassifier,0.9235772800261274,0.9235772800261274,0.9235772800261274,36743.0,,
10,StandardScaler,XGBClassifier,0.9015551235767842,0.9015551235767842,0.9015551235767842,43212.0,,
11,StandardScaler,CatBoostClassifier,0.9307599740812738,0.9307599740812738,0.9307599740812738,43212.0,,
12,StandardScaler,LGBMClassifier,0.9291169119688976,0.9291169119688976,0.9291169119688976,43212.0,,
13,StandardScaler,LGBMClassifier,0.9291169119688976,0.9291169119688976,0.9291169119688976,43212.0,,
14,StandardScaler,XGBClassifier,0.8893362954734796,0.8893362954734796,0.8893362954734795,43212.0,,
15,StandardScaler,CatBoostClassifier,0.9160649819494584,0.9160649819494584,0.9160649819494584,43212.0,,
16,StandardScaler,LGBMClassifier,0.9148153290752568,0.9148153290752568,0.9148153290752568,43212.0,,
17,StandardScaler,XGBClassifier,0.8891974451541238,0.8891974451541238,0.8891974451541238,43212.0,,
18,StandardScaler,CatBoostClassifier,0.9160649819494584,0.9160649819494584,0.9160649819494584,43212.0,,
19,StandardScaler,LGBMClassifier,0.9148153290752568,0.9148153290752568,0.9148153290752568,43212.0,,
20,StandardScaler,XGBClassifier,0.4540405442932518,0.4540405442932518,0.4540405442932518,43212.0,,
21,StandardScaler,CatBoostClassifier,0.6327871887438674,0.6327871887438674,0.6327871887438674,43212.0,,
22,StandardScaler,LGBMClassifier,0.6174210867351662,0.6174210867351662,0.6174210867351662,43212.0,,
23,StandardScaler,XGBClassifier,0.4547579376099231,0.4547579376099231,0.4547579376099231,43212.0,,
24,StandardScaler,XGBClassifier,0.8891048782745533,0.8891048782745533,0.8891048782745533,43212.0,,
25,StandardScaler,XGBClassifier,0.4543413866518559,0.4543413866518559,0.4543413866518559,43212.0,,
26,StandardScaler,CatBoostClassifier,0.6397759881514394,0.6397759881514394,0.6397759881514394,43212.0,,
27,StandardScaler,LGBMClassifier,0.6235536425067111,0.6235536425067111,0.6235536425067111,43212.0,,
28,StandardScaler,XGBClassifier,0.6925159677867259,0.6925159677867259,0.6925159677867259,43212.0,,
29,StandardScaler,CatBoostClassifier,0.7574979172452097,0.7574979172452097,0.7574979172452097,43212.0,,
30,StandardScaler,LGBMClassifier,0.7461584744978247,0.7461584744978247,0.7461584744978247,43212.0,,
31,StandardScaler,XGBClassifier,1.0,1.0,1.0,43212.0,,
32,StandardScaler,CatBoostClassifier,1.0,1.0,1.0,43212.0,,
33,StandardScaler,LGBMClassifier,1.0,1.0,1.0,43212.0,,
34,StandardScaler,XGBClassifier,1.0,1.0,1.0,43212.0,,
35,StandardScaler,CatBoostClassifier,1.0,1.0,1.0,43212.0,,
36,StandardScaler,LGBMClassifier,1.0,1.0,1.0,43212.0,,
37,StandardScaler,XGBClassifier,0.6949458483754513,0.6949458483754513,0.6949458483754513,43212.0,,
38,StandardScaler,CatBoostClassifier,0.7540035175414237,0.7540035175414237,0.7540035175414237,43212.0,,
39,StandardScaler,LGBMClassifier,0.7410904378413403,0.7410904378413403,0.7410904378413403,43212.0,,
40,StandardScaler,XGBClassifier,0.6652731365612897,0.6652731365612897,0.6652731365612897,71521.0,,
41,StandardScaler,CatBoostClassifier,0.7785265865969435,0.7785265865969435,0.7785265865969434,71521.0,,
42,StandardScaler,LGBMClassifier,0.7693264915199731,0.7693264915199731,0.769326491519973,71521.0,,
43,StandardScaler,XGBClassifier,0.6653150822835251,0.6653150822835251,0.6653150822835251,71521.0,side,default settings
44,StandardScaler,CatBoostClassifier,0.7785265865969435,0.7785265865969435,0.7785265865969434,71521.0,side,default settings
45,StandardScaler,LGBMClassifier,0.7693264915199731,0.7693264915199731,0.769326491519973,71521.0,side,default settings
46,StandardScaler,XGBClassifier,1.0,1.0,1.0,71509.0,vertical,default settings
47,StandardScaler,XGBClassifier,0.7784614524045924,0.7784614524045924,0.7784614524045924,71509.0,vertical,default settings
48,StandardScaler,CatBoostClassifier,0.8460893034443216,0.8460893034443216,0.8460893034443216,71509.0,vertical,default settings
49,StandardScaler,LGBMClassifier,0.8434462794892951,0.8434462794892951,0.8434462794892951,71509.0,vertical,default settings
50,StandardScaler,XGBClassifier,0.7799857360611951,0.7799857360611951,0.7799857360611951,71509.0,vertical,default settings
51,StandardScaler,CatBoostClassifier,0.8475856185934637,0.8475856185934637,0.8475856185934637,71509.0,vertical,default settings
52,StandardScaler,LGBMClassifier,0.8429008935938134,0.8429008935938134,0.8429008935938134,71509.0,vertical,default settings
53,StandardScaler,XGBClassifier,0.6641685658757568,0.6641685658757568,0.6641685658757568,71521.0,side,default settings
54,StandardScaler,CatBoostClassifier,0.7729198417248081,0.7729198417248081,0.7729198417248081,71521.0,side,default settings
55,StandardScaler,LGBMClassifier,0.7651878469260777,0.7651878469260777,0.7651878469260776,71521.0,side,default settings
56,StandardScaler,XGBClassifier,0.7807408857626312,0.7807408857626312,0.7807408857626312,71509.0,vertical,default settings
57,StandardScaler,CatBoostClassifier,0.845823602623446,0.845823602623446,0.845823602623446,71509.0,vertical,default settings
58,StandardScaler,LGBMClassifier,0.8436001062803283,0.8436001062803283,0.8436001062803283,71509.0,vertical,default settings
59,StandardScaler,XGBClassifier,0.5268802169992031,0.5268802169992031,0.5268802169992031,71521.0,side,default settings
60,StandardScaler,CatBoostClassifier,0.7065477272409502,0.7065477272409502,0.7065477272409502,71521.0,side,default settings
61,StandardScaler,LGBMClassifier,0.6969002111268019,0.6969002111268019,0.6969002111268019,71521.0,side,default settings
62,StandardScaler,XGBClassifier,0.8648701562041141,0.8648701562041141,0.864870156204114,71509.0,vertical,default settings
63,StandardScaler,CatBoostClassifier,0.8436001062803283,0.8436001062803283,0.8436001062803283,71509.0,vertical,default settings
64,StandardScaler,LGBMClassifier,0.842789019563971,0.842789019563971,0.842789019563971,71509.0,vertical,default settings
65,StandardScaler,XGBClassifier,0.5262370492582598,0.5262370492582598,0.5262370492582598,71521.0,side,n_estimators=1000
66,StandardScaler,CatBoostClassifier,0.7054431565554173,0.7054431565554173,0.7054431565554173,71521.0,side,default settings
67,StandardScaler,LGBMClassifier,0.6947050516631479,0.6947050516631479,0.6947050516631479,71521.0,side,default settings
68,StandardScaler,XGBClassifier,0.5343745193719327,0.5343745193719327,0.5343745193719327,71521.0,side,n_estimators=500
69,StandardScaler,CatBoostClassifier,0.71095202807567,0.71095202807567,0.71095202807567,71521.0,side,default settings
70,StandardScaler,LGBMClassifier,0.7003956879797542,0.7003956879797542,0.7003956879797542,71521.0,side,default settings
71,StandardScaler,XGBClassifier,0.5299981823520364,0.5299981823520364,0.5299981823520364,71521.0,side,n_estimators=500
72,StandardScaler,CatBoostClassifier,0.705680848981418,0.705680848981418,0.705680848981418,71521.0,side,default settings
73,StandardScaler,LGBMClassifier,0.6953062736818557,0.6953062736818557,0.6953062736818557,71521.0,side,default settings
74,StandardScaler,CatBoostClassifier,0.6960193509598579,0.6960193509598579,0.6960193509598579,71521.0,side,default settings
